id,question,thinking,solution
1,"公司核心交换机突然宕机，所有部门无法访问内网资源和互联网","核心交换机故障，可能是硬件故障、配置错误或电源问题，需要快速定位并恢复网络","1. 检查交换机电源指示灯和风扇运行状态 2. 尝试通过Console口登录查看日志 3. 如硬件故障立即启用备用交换机 4. 检查UPS供电是否正常 5. 恢复后检查STP/VLAN配置 6. 通知所有部门预计恢复时间"
2,"服务器CPU使用率持续100%，top命令显示java进程占用99%CPU","Java应用CPU过载，可能是死循环、GC风暴或线程池配置不当","1. 使用jstack导出线程快照分析热点线程 2. 使用jstat检查GC频率和耗时 3. 检查JVM堆内存配置是否合理 4. 排查是否存在死循环或递归调用 5. 临时增大-Xmx并重启服务 6. 部署APM工具做长期监控"
3,"MySQL数据库主从复制延迟超过3600秒，从库查询数据严重滞后","主从复制延迟，可能是从库性能不足、大事务阻塞或网络带宽限制","1. 在从库执行SHOW SLAVE STATUS检查Seconds_Behind_Master和IO/SQL线程状态 2. 检查是否有大事务（如ALTER TABLE）阻塞复制 3. 检查从库磁盘IO和CPU使用情况 4. 考虑开启并行复制slave_parallel_workers 5. 检查主从之间网络延迟 6. 长期方案：升级从库硬件或拆分大事务"
4,"生产环境Web服务器返回502 Bad Gateway错误，Nginx错误日志显示upstream连接失败","Nginx反向代理后端连接失败，可能是后端服务崩溃、端口不通或连接池耗尽","1. 检查后端应用服务（如Tomcat/Node.js）是否存活：systemctl status应用服务 2. 检查后端端口是否监听：netstat -tlnp | grep 端口号 3. 查看Nginx upstream配置是否正确 4. 检查后端服务日志寻找崩溃原因 5. 增大proxy_connect_timeout和upstream的max_fails配置 6. 重启后端服务并验证连通性"
5,"公司遭受DDoS攻击，外网带宽被打满，正常用户无法访问业务系统","分布式拒绝服务攻击，需要紧急启用防护措施缓解攻击影响","1. 立即联系ISP启用流量清洗服务 2. 在防火墙配置限速规则和黑名单 3. 启用CDN的DDoS防护功能 4. 分析攻击流量特征（SYN Flood/UDP Flood/HTTP Flood） 5. 配置Nginx的limit_req和limit_conn模块 6. 启用anycast或切换备用IP 7. 事后分析攻击日志并加固安全策略"
6,"Linux服务器磁盘空间100%已满，导致应用无法写入日志和临时文件","磁盘空间耗尽，需要快速释放空间并找出大文件来源","1. 使用df -h确认各分区使用率 2. 使用du -sh /var/* 等找出占用大的目录 3. 清理过期日志：find /var/log -name '*.gz' -mtime +30 -delete 4. 检查是否有进程持有已删除文件的句柄：lsof | grep deleted 5. 配置logrotate自动轮转日志 6. 考虑扩容磁盘或迁移数据到新挂载点"
7,"Redis集群出现脑裂现象，两个节点同时声称自己是master","Redis集群脑裂，可能是网络分区或哨兵配置不当导致","1. 检查Redis Sentinel配置中quorum值是否合理 2. 使用redis-cli cluster nodes查看各节点状态 3. 检查节点间网络连通性 4. 手动将错误的master降级为slave：CLUSTER FAILOVER TAKEOVER 5. 确认min-slaves-to-write配置防止脑裂写入 6. 修复网络分区根因并验证集群一致性"
8,"开发人员反馈Git仓库push操作超时，GitLab服务器响应极慢","GitLab性能问题，可能是资源不足、大仓库或后台任务堆积","1. 检查GitLab服务器CPU/内存/磁盘IO使用情况 2. 查看sidekiq队列是否堆积：gitlab-rails runner 'puts Sidekiq::Queue.all.map(&:size)' 3. 检查PostgreSQL数据库连接数和慢查询 4. 检查是否有用户推送了超大文件 5. 执行gitlab-rake gitlab:check确认各组件状态 6. 增加Unicorn/Puma worker数量并重启"
9,"监控告警显示Kubernetes集群中Pod频繁被OOM Killed","Pod内存不足被系统杀死，可能是内存泄漏或limits设置过低","1. kubectl describe pod查看OOMKilled事件详情 2. 检查deployment中resources.limits.memory设置 3. 使用kubectl top pod查看实际内存使用趋势 4. 检查应用是否存在内存泄漏（如Java堆外内存） 5. 适当增大memory limits并设置合理的requests 6. 配置HPA自动水平扩缩容分散负载"
10,"Windows Server 2019域控制器AD复制失败，repadmin /replsummary显示大量错误","Active Directory复制故障，可能是DNS问题、时间不同步或网络连接问题","1. 运行repadmin /showrepl查看具体复制错误代码 2. 检查DNS配置：nslookup _ldap._tcp.dc._msdcs.域名 3. 验证域控之间时间差是否小于5分钟：w32tm /stripchart 4. 检查防火墙是否放行了AD复制所需端口（135,389,636,3268等） 5. 运行dcdiag /v全面诊断 6. 必要时强制复制：repadmin /syncall /AdeP"
11,"VMware ESXi主机出现紫屏死机（PSOD），所有虚拟机停机","ESXi严重内核错误，可能是硬件故障、驱动兼容或固件问题","1. 记录PSOD屏幕上的错误信息和core dump文件 2. 检查ESXi主机硬件状态（内存ECC错误、磁盘SMART） 3. 重启主机后查看/var/log/vmkernel.log 4. 验证ESXi版本和驱动是否在VMware HCL兼容列表 5. 更新ESXi补丁到最新版本 6. 如为硬件故障则更换故障组件 7. 启用HA集群确保VM自动迁移"
12,"Jenkins CI/CD流水线在Docker构建阶段失败，错误提示no space left on device","Jenkins构建节点Docker存储空间不足","1. 检查Docker存储驱动目录空间：docker system df 2. 清理无用的镜像和容器：docker system prune -af 3. 清理构建缓存：docker builder prune 4. 检查Jenkins workspace是否定期清理 5. 配置Docker daemon.json限制日志大小 6. 迁移Docker数据目录到更大的磁盘分区"
13,"Elasticsearch集群状态变为RED，部分索引不可用","ES集群有未分配的主分片，可能是节点宕机或磁盘空间不足","1. GET _cluster/health 查看集群状态和未分配分片数 2. GET _cat/shards?v&h=index,shard,prirep,state,unassigned.reason 找出问题分片 3. 检查各节点磁盘使用率（85%水位线会触发只读） 4. 如节点宕机则重启节点等待分片恢复 5. 手动分配分片：POST _cluster/reroute 6. 清理过期索引释放空间"
14,"公司邮件服务器被列入RBL黑名单，外发邮件被多个收件方拒收","邮件服务器IP信誉问题，可能是被利用发送垃圾邮件或安全配置缺失","1. 到mxtoolbox.com查询IP是否在黑名单 2. 检查邮件服务器是否配置了SPF/DKIM/DMARC记录 3. 查看邮件队列中是否有大量异常发送 4. 检查是否有账号被盗用发送垃圾邮件 5. 到各RBL官网提交移除申请 6. 配置发送频率限制和外发邮件扫描"
15,"Oracle数据库表空间使用率达到98%，应用报ORA-01654空间不足错误","数据库表空间即将耗尽，需要紧急扩容并排查空间增长原因","1. SELECT tablespace_name,used_percent FROM dba_tablespace_usage_metrics 确认表空间状态 2. ALTER TABLESPACE xxx ADD DATAFILE增加数据文件 3. 查找大表和大索引：SELECT segment_name,bytes/1024/1024 FROM dba_segments 4. 清理无用数据和过期分区 5. 重建碎片化索引释放空间 6. 配置表空间自动扩展并设置告警阈值"
16,"Zabbix监控系统大量告警Unreachable，但实际被监控主机运行正常","Zabbix Server性能瓶颈导致监控数据采集超时","1. 检查Zabbix Server进程和数据库负载 2. 查看zabbix_server.log中的slow query和timeout警告 3. 检查Zabbix proxy是否正常转发数据 4. 调整StartPollers和CacheSize参数 5. 优化MySQL/PostgreSQL后端数据库性能 6. 清理过期历史数据：housekeeping配置"
17,"Nginx SSL证书过期导致HTTPS访问出现安全警告，影响所有线上业务","SSL证书过期是紧急事件，需要立即更新证书恢复安全访问","1. 确认当前证书过期时间：openssl x509 -noout -dates -in cert.pem 2. 如果使用Let's Encrypt则执行certbot renew 3. 如果是商业证书则从CA重新下载/申请 4. 更新Nginx配置中的ssl_certificate和ssl_certificate_key路径 5. nginx -t验证配置后nginx -s reload 6. 配置证书过期前30天自动告警"
18,"Docker容器内应用无法解析外部域名，DNS查询超时","容器DNS配置问题，可能是Docker DNS设置或宿主机resolv.conf问题","1. 进入容器测试：docker exec -it 容器 nslookup baidu.com 2. 检查容器DNS配置：docker exec -it 容器 cat /etc/resolv.conf 3. 检查Docker daemon的dns配置 4. 验证宿主机DNS是否正常 5. 在docker-compose.yml或daemon.json中指定dns服务器 6. 检查iptables/firewalld是否阻断了容器DNS流量"
19,"公司VPN服务器并发连接数达到上限，远程办公员工无法接入","VPN容量不足，需要扩容或优化连接策略","1. 查看当前VPN并发连接数和license限制 2. 清理已断开但未释放的僵尸会话 3. 缩短VPN会话超时时间释放空闲连接 4. 考虑启用split tunnel减少带宽消耗 5. 增加VPN服务器节点做负载均衡 6. 评估是否迁移到零信任架构替代传统VPN"
20,"PostgreSQL数据库查询性能骤降，简单查询需要10秒以上","数据库查询性能问题，可能是表膨胀、索引失效或统计信息过期","1. EXPLAIN ANALYZE分析慢查询的执行计划 2. 检查表是否存在严重膨胀：SELECT pg_size_pretty(pg_total_relation_size('表名')) 3. 执行VACUUM FULL或pg_repack进行表空间回收 4. 更新统计信息：ANALYZE 表名 5. 检查是否缺少必要索引 6. 调整shared_buffers和work_mem参数"
21,"Kafka消息队列出现消费积压，consumer lag持续增长","消费者处理能力跟不上生产速度，需要排查消费瓶颈","1. 使用kafka-consumer-groups.sh查看各partition的lag 2. 检查消费者应用日志是否有异常 3. 增加consumer group中的消费者实例数 4. 检查是否有partition倾斜导致热点 5. 优化消费者业务逻辑处理速度 6. 适当增加topic的partition数量"
22,"Linux服务器SSH连接被拒绝，远程无法登录管理","SSH服务不可用，可能是服务异常、防火墙阻断或密钥问题","1. 通过IPMI/iDRAC带外管理口登录服务器 2. 检查sshd服务状态：systemctl status sshd 3. 检查防火墙规则：iptables -L -n | grep 22 4. 查看/var/log/secure或/var/log/auth.log日志 5. 检查/etc/hosts.deny和sshd_config中的AllowUsers 6. 检查磁盘空间（满了会导致服务异常）"
